Class	Caption	Summary
648	Housekeeping	3
649	Child rearing & home care of persons	3
650	Management & auxiliary services	3
651	Office services	3
652	Processes of written communication	3
653	Shorthand	3
654	[Unassigned]	3
655	[Unassigned]	3
656	[Unassigned]	3
657	Accounting	3
658	General management	3
659	Advertising & public relations	3
660	Chemical engineering	3
661	Industrial chemicals	3
662	"Explosives, fuels & related products"	3
663	Beverage technology	3
664	Food technology	3
665	"Industrial oils, fats, waxes & gases"	3
666	Ceramic & allied technologies	3
667	"Cleaning, color & coating technologies"	3
668	Technology of other organic products	3
669	Metallurgy	3
670	Manufacturing	3
671	Metalworking & primary metal products	3
672	"Iron, steel & other iron alloys"	3
673	Nonferrous metals	3
674	"Lumber processing, wood products & cork"	3
675	Leather & fur processing	3
676	Pulp & paper technology	3
677	Textiles	3
678	Elastomers & elastomer products	3
679	Other products of specific materials	3
680	Manufacture for specific uses	3
681	Precision instruments & other devices	3
682	Small forge work (Blacksmithing)	3
683	Hardware & household appliances	3
684	Furnishings & home workshops	3
685	"Leather, fur goods & related products"	3
686	Printing & related activities	3
687	Clothing & accessories	3
688	Other final products & packaging	3
689	[Unassigned]	3
690	Buildings	3
691	Building materials	3
692	Auxiliary construction practices	3
693	Specific materials & purposes	3
694	Wood construction & carpentry	3
695	Roof covering	3
696	Utilities	3
697	"Heating, ventilating & air-conditioning"	3
698	Detail finishing	3
699	[Unassigned]	3
700	The arts; fine & decorative arts	3
701	Philosophy of fine & decorative arts	3
702	Miscellany of fine & decorative arts	3
703	Dictionaries of fine & decorative arts	3
704	Special topics in fine & decorative arts	3
705	Serial publications of fine & decorative arts	3
706	Organizations & management	3
707	"Education, research & related topics"	3
708	"Galleries, museums & private collections"	3
709	"Historical, geographic & persons treatment"	3
710	Civic & landscape art	3
711	Area planning	3
712	Landscape architecture	3
713	Landscape architecture of trafficways	3
714	Water features	3
715	Woody plants	3
716	Herbaceous plants	3
717	Structures in landscape architecture	3
718	Landscape design of cemeteries	3
719	Natural landscapes	3
720	Architecture	3
721	Architectural structure	3
722	Architecture to ca. 300	3
723	Architecture from ca. 300 to 1399	3
724	Architecture from 1400	3
725	Public structures	3
726	Buildings for religious purposes	3
727	Buildings for education & research	3
728	Residential & related buildings	3
729	Design & decoration	3
730	Plastic arts; sculpture	3
731	"Processes, forms & subjects of sculpture"	3
732	Sculpture to ca. 500	3
733	"Greek, Etruscan & Roman sculpture"	3
734	Sculpture from ca. 500 to 1399	3
735	Sculpture from 1400	3
